event_name,category,trigger,parameters,description
page_view,Navigation,Page load,"page, title, url, referrer","Page view tracking"
scroll_depth,Navigation,Scroll 25/50/75/100%,"page, depth","Scroll depth tracking"
time_on_page,Navigation,Page unload,"page, duration","Time on page"
search_vehicle,Landing,CTA click,"brand, model","Vehicle search from landing"
click_category,Landing,Category click,"category_name","Category navigation"
click_brand,Landing,Brand click,"brand_name","Brand navigation"
click_cta_register,Landing,CTA click,"source","Registration CTA"
click_cta_login,Landing,CTA click,"source","Login CTA"
search_product,Marketplace,Search submit,"query, results_count","Product search"
filter_product,Marketplace,Filter apply,"filter_type, filter_value","Product filter"
view_product,Marketplace,Product click,"product_id, product_name, price","Product detail view"
add_to_cart,Marketplace,Add to cart,"product_id, price, quantity","Add to cart"
remove_from_cart,Marketplace,Remove from cart,"product_id","Remove from cart"
checkout_start,Checkout,Checkout start,"cart_value, items_count","Checkout initiated"
payment_method,Checkout,Payment method select,"method","Payment method selected"
payment_success,Checkout,Payment complete,"order_id, amount, method","Payment successful"
payment_fail,Checkout,Payment fail,"method, error","Payment failed"
order_complete,Checkout,Order confirm,"order_id, total","Order completed"
lead_created,CRM,Lead create,"source","Lead created"
lead_converted,CRM,Lead convert,"lead_id, value","Lead converted"
customer_created,CRM,Customer create,"source","Customer created"
login,Auth,Login success,"method","User logged in"
register,Auth,Register success,"role, country","User registered"
logout,Auth,Logout,"","User logged out"
